feature,coefficient,absolute_importance,feature_group
developer_publisher__developer_Infinity Ward,-0.718778856973713,0.718778856973713,Other
developer_publisher__developer_MyACG Studio,0.7186743329997717,0.7186743329997717,Other
"developer_publisher__publisher_Disney Interactive,Disney Interactive",-0.7161310742499817,0.7161310742499817,Other
"developer_publisher__publisher_2K,2K",0.7158944181831934,0.7158944181831934,Other
tags__tag_action,0.7157767187396873,0.7157767187396873,Other
"developer_publisher__publisher_Tin Man Games,Tin Man Games",-0.712169149702468,0.712169149702468,Other
developer_publisher__developer_Tin Man Games,-0.712169149702468,0.712169149702468,Other
"developer_publisher__publisher_XSEED Games,Marvelous USA, Inc.,Marvelous,XSEED Games,Marvelous USA, Inc.,Marvelous",0.7102240800917609,0.7102240800917609,Other
"developer_publisher__publisher_Capcom,Capcom",0.7006215836477104,0.7006215836477104,Other
developer_publisher__developer_Croteam,-0.695167890513254,0.695167890513254,Other
"developer_publisher__publisher_Aerosoft GmbH,Aerosoft GmbH",-0.6938965163406593,0.6938965163406593,Other
"developer_publisher__publisher_Flat Cat Games,Flat Cat Games",-0.6924091433244933,0.6924091433244933,Other
developer_publisher__developer_Flat Cat Games,-0.6924091433244933,0.6924091433244933,Other
developer_publisher__developer_Nomad Games,-0.6911706952729431,0.6911706952729431,Other
developer_publisher__developer_Krome Studios,0.6872029695635148,0.6872029695635148,Other
"developer_publisher__publisher_Flazm,Flazm",0.6857297916833393,0.6857297916833393,Other
"developer_publisher__publisher_Fruitbat Factory,Fruitbat Factory",-0.6833010701505747,0.6833010701505747,Other
"developer_publisher__publisher_Nomad Games,Nomad Games",-0.6821293366307154,0.6821293366307154,Other
developer_publisher__developer_Core Design,0.681600916251848,0.681600916251848,Other
"developer_publisher__publisher_None,None",-0.6747510833732181,0.6747510833732181,Other
"developer_publisher__publisher_Pixeljam,Pixeljam",-0.6722078680448035,0.6722078680448035,Other
"developer_publisher__publisher_Gaijin Entertainment,Gaijin Entertainment",-0.6702846160471113,0.6702846160471113,Other
"developer_publisher__publisher_Gearbox Publishing,Gearbox Publishing",0.6672889926515977,0.6672889926515977,Other
"developer_publisher__publisher_Techland Publishing,Techland Publishing",0.6657904906723298,0.6657904906723298,Other
developer_publisher__developer_Crisp App Studio,-0.6626863399288792,0.6626863399288792,Other
"developer_publisher__publisher_SNK CORPORATION,SNK CORPORATION",0.6622340804982249,0.6622340804982249,Other
developer_publisher__developer_07th Expansion,-0.6610197864759217,0.6610197864759217,Other
"developer_publisher__publisher_Wales Interactive,Wales Interactive",0.6597884792989506,0.6597884792989506,Other
"developer_publisher__publisher_D3 PUBLISHER,D3 PUBLISHER",0.6596351191350115,0.6596351191350115,Other
developer_publisher__developer_Starodymov,-0.6588337174825647,0.6588337174825647,Other
developer_publisher__developer_Spiderweb Software,-0.6584226103630074,0.6584226103630074,Other
"developer_publisher__publisher_Spiderweb Software,Spiderweb Software",-0.6584226103630074,0.6584226103630074,Other
developer_publisher__developer_Unknown Worlds Entertainment,0.6565247667874089,0.6565247667874089,Other
"developer_publisher__publisher_BadLand Publishing,BadLand Publishing",-0.6517681415067066,0.6517681415067066,Other
"developer_publisher__publisher_2K,Aspyr (Mac),2K,Aspyr (Mac)",0.6492964277358384,0.6492964277358384,Other
"developer_publisher__publisher_Zachtronics,Zachtronics",0.6462403412937072,0.6462403412937072,Other
developer_publisher__developer_Zachtronics,0.6462403412937072,0.6462403412937072,Other
"developer_publisher__publisher_Headup Games,Headup Games",-0.6460523623582143,0.6460523623582143,Other
developer_publisher__developer_Dan Fornace,0.6456149704579639,0.6456149704579639,Other
developer_publisher__developer_Quiet River,0.6455289281657662,0.6455289281657662,Other
"developer_publisher__publisher_Quiet River,Quiet River",0.6455289281657662,0.6455289281657662,Other
"developer_publisher__publisher_Zen Studios,Zen Studios",0.6438474468361136,0.6438474468361136,Other
"developer_publisher__publisher_Curve Digital,Curve Digital",0.636990277931246,0.636990277931246,Other
"developer_publisher__publisher_Milkstone Studios,Milkstone Studios",0.6369520068864014,0.6369520068864014,Other
"developer_publisher__publisher_Mommy's Best Games,Mommy's Best Games",-0.6366448583453985,0.6366448583453985,Other
"developer_publisher__publisher_Blender Games,Blender Games",-0.6331089641057513,0.6331089641057513,Other
developer_publisher__developer_Blender Games,-0.6331089641057513,0.6331089641057513,Other
"developer_publisher__publisher_VT Publishing,VT Publishing",-0.6294680232860983,0.6294680232860983,Other
developer_publisher__developer_ANPA.US,-0.6260800828960885,0.6260800828960885,Other
"developer_publisher__developer_Spike Chunsoft Co., Ltd.",0.6221413633059548,0.6221413633059548,Other
"developer_publisher__publisher_DLsite,DLsite",0.6220546443815046,0.6220546443815046,Other
"developer_publisher__publisher_Alawar Entertainment,Alawar Entertainment",-0.6199454456649962,0.6199454456649962,Other
"developer_publisher__publisher_SimBin,SimBin",-0.6171157235429922,0.6171157235429922,Other
"developer_publisher__publisher_Rising Star Games,Rising Star Games",-0.6148749748054855,0.6148749748054855,Other
developer_publisher__developer_RewindApp,-0.6145890478518344,0.6145890478518344,Other
developer_publisher__developer_Night Dreams Studio,-0.6140694475332605,0.6140694475332605,Other
"developer_publisher__publisher_Night Dreams Studio,Night Dreams Studio",-0.6140694475332605,0.6140694475332605,Other
developer_publisher__developer_Firaxis Games,-0.6139488830441112,0.6139488830441112,Other
"developer_publisher__publisher_Anarchy Enterprises,Anarchy Enterprises",-0.6122803924779109,0.6122803924779109,Other
developer_publisher__developer_Anarchy Enterprises,-0.6122803924779109,0.6122803924779109,Other
"developer_publisher__publisher_Laush Studio,Laush Studio",-0.6114446322764667,0.6114446322764667,Other
developer_publisher__developer_Blackbird Interactive,0.6083723173056839,0.6083723173056839,Other
"developer_publisher__publisher_Big Fish Games,Big Fish Games",-0.6055320845972799,0.6055320845972799,Other
"developer_publisher__publisher_Frozenbyte,Frozenbyte",0.605124038820059,0.605124038820059,Other
developer_publisher__developer_Frozenbyte,0.605124038820059,0.605124038820059,Other
"developer_publisher__developer_Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",-0.6038269823947914,0.6038269823947914,Other
"developer_publisher__publisher_WB Games,WB Games",0.6018148446296511,0.6018148446296511,Other
"developer_publisher__developer_Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",-0.6013000185966448,0.6013000185966448,Other
tags__tag_racing,0.6012082714739514,0.6012082714739514,Other
"developer_publisher__developer_QLOC,DIMPS",-0.6010393772720085,0.6010393772720085,Other
developer_publisher__developer_Paradox Development Studio,0.5998590404164326,0.5998590404164326,Other
"developer_publisher__developer_Jackbox Games, Inc.",0.5994931826168789,0.5994931826168789,Other
"developer_publisher__publisher_Jackbox Games, Inc.,Jackbox Games, Inc.",0.5994931826168789,0.5994931826168789,Other
developer_publisher__developer_Silden,-0.5984919972689159,0.5984919972689159,Other
"developer_publisher__developer_Firaxis Games,Aspyr (Mac),Aspyr (Linux)",0.5984889927861248,0.5984889927861248,Other
"developer_publisher__publisher_Warfare Studios,Warfare Studios",-0.5979045217099341,0.5979045217099341,Other
developer_publisher__developer_AMPLITUDE Studios,-0.5961126055279701,0.5961126055279701,Other
developer_publisher__developer_Proxy Studios,0.5946009185518152,0.5946009185518152,Other
developer_publisher__developer_Cyanide Studio,-0.5941294812914097,0.5941294812914097,Other
"developer_publisher__publisher_Ominous Entertainment,Ominous Entertainment",-0.5923558031053552,0.5923558031053552,Other
